#ENGINE	STEP	TOTAL_POT	TOTAL_ELECT	TOTAL_VDW_plus_ELECT	PRESSURE	VOLUME	DENSITY
GOMC	137500	-8074.607064135284	-8863.924595667422	-8074.527575964939	-412.27	25630.6257	0.99207
GOMC	138000	-8057.318387085109	-8843.655112229286	-8057.338259127696	-374.27	25630.6257	0.99181
NAMD	138000	-8054.7608	-8843.4757	-8057.1342	-427.4519	25630.6257	0.9918035557641497
NAMD	140500	-7982.9171	-8843.0349	-7984.976200000001	445.3058	25630.6257	0.9918035557641497
GOMC	140500	-7985.182872496447	-8843.257671377558	-7985.22261658162	503.3	25630.6257	0.99181
GOMC	141000	-7998.695861455204	-8864.520756945014	-7998.735605540377	507.78	25630.6257	0.98999
NAMD	141000	-7997.1888	-8864.3261	-7998.529	397.0550	25630.6257	0.9899959888275377
NAMD	143500	-8115.3478	-8998.0724	-8119.247799999999	71.6923	25630.6257	0.9899959888275377
GOMC	143500	-8119.517880380567	-8998.259603551542	-8119.458264252808	45.734	25630.6257	0.98999
GOMC	144000	-8126.671815711674	-8998.855764829133	-8126.69168775426	79.694	25630.6257	0.99414
NAMD	144000	-8122.9114	-8998.6845	-8126.497299999999	90.8582	25630.6257	0.9941423789330278
NAMD	146500	-8090.7710	-8899.1662	-8096.1007	-357.5845	25630.6257	0.9941423789330278
GOMC	146500	-8096.267590554469	-8899.296831471229	-8096.247718511883	-373.21	25630.6257	0.99414
GOMC	147000	-8098.25479481311	-8912.01493872653	-8098.2547948131105	-332.38	25630.6257	0.9911599999999999
NAMD	147000	-8094.4827	-8911.7814	-8098.0107	-270.3998	25630.6257	0.9911621610447068
NAMD	149500	-8071.7665	-8900.9775	-8077.560200000001	-31.7851	25630.6257	0.9911621610447068
GOMC	149500	-8077.587870523245	-8900.88659487814	-8077.488510310312	-231.2	25630.6257	0.9911599999999999
GOMC	150000	-8070.03649434041	-8886.777444641792	-8069.937134127478	-234.69	25630.6257	0.99207
NAMD	150000	-8064.4801	-8886.8544	-8069.9908000000005	-58.2422	25630.6257	0.9920691838802828
NAMD	152500	-7975.2837	-8671.8297	-7977.741	-1253.7511	25630.6257	0.9920691838802828
GOMC	152500	-7978.02893716534	-8672.159384708582	-7978.0885532931	-1161.5	25630.6257	0.99207
GOMC	153000	-7976.240453332563	-8664.011847248154	-7976.2801974177355	-1142.5	25630.6257	0.99505
NAMD	153000	-7973.5831	-8663.6358	-7975.8874	-1255.3871	25630.6257	0.9950429230340639
NAMD	155500	-7975.4958	-8827.0630	-7981.0411	452.4293	25630.6257	0.9950429230340639
GOMC	155500	-7981.009743553301	-8826.962596456702	-7980.950127425542	400.34	25630.6257	0.99505
GOMC	156000	-7980.016141423981	-8830.539564122257	-7980.155245722086	325.94	25630.6257	0.9909
NAMD	156000	-7975.4934	-8830.5358	-7980.133	448.6746	25630.6257	0.9909030116631136
NAMD	158500	-8094.8261	-8923.4233	-8097.5581	-292.8201	25630.6257	0.9909030116631136
GOMC	158500	-8097.459913109654	-8923.342003000782	-8097.499657194826	-369.45	25630.6257	0.9909
GOMC	159000	-8095.273988425149	-8923.739443852512	-8095.313732510323	-400.4	25630.6257	0.98883
NAMD	159000	-8094.0521	-8923.7847	-8095.3319	-368.5171	25630.6257	0.9888298166103687
NAMD	161500	-8065.9423	-8890.6643	-8068.1097	-222.7433	25630.6257	0.9888298166103687
GOMC	161500	-8068.049290081769	-8890.553132733208	-8068.009545996596	-362.22	25630.6257	0.98883
GOMC	162000	-8059.106870917885	-8890.15569188148	-8059.047254790126	-418.82	25630.6257	0.98261
NAMD	162000	-8057.5399	-8890.2278	-8059.103700000001	-324.4988	25630.6257	0.9826102314521336
NAMD	164500	-8030.4122	-8894.3521	-8032.2551	5.1549	25630.6257	0.9826102314521336
GOMC	164500	-8032.677054277962	-8894.726261676355	-8032.657182235376	68.179	25630.6257	0.98261
GOMC	165000	-8048.375967921225	-8903.469960414373	-8048.276607708292	97.202	25630.6257	0.9879199999999999
NAMD	165000	-8047.1831	-8903.1038	-8047.8963	102.9785	25630.6257	0.9879227937747926
NAMD	167500	-8050.8126	-8932.5653	-8051.9375	315.3353	25630.6257	0.9879227937747926
GOMC	167500	-8052.350376438507	-8933.079303868122	-8052.469608694025	265.78	25630.6257	0.9879199999999999
GOMC	168000	-8037.048903646973	-8911.617497874802	-8037.048903646973	245.67	25630.6257	0.98766
NAMD	168000	-8035.7864	-8911.1625	-8036.580400000001	261.0706	25630.6257	0.9876571656586596
NAMD	170500	-7986.0597	-8733.3902	-7986.7469	-760.6839	25630.6257	0.9876571656586596
