#STEP	TOTAL	INTRA(B)	INTRA(NB)	INTER(LJ)	LRC	TOTAL_ELECT	REAL	RECIP	SELF	CORR	ENTHALPY	PRESSURE	COMPRESSIBILITY	ENTHALPY	TOTALMOL	MOLFRAC_TIP3	MOLFRAC_DIOX	MOLDENS_TIP3	MOLDENS_DIOX	TOT_DENSITY
129000	-4059700.0	0.0	0.0	412770.0	0.0	-4472500.0	-4201500.0	20158.0	-23168000.0	22877000.0	-97.037	-225.46	-0.16016	-40.454	843.0	0.988137604	0.0118623962	0.0325001821	0.000390158248	992.97
131500	-4047100.0	0.0	0.0	407140.0	0.0	-4454300.0	-4181600.0	18471.0	-23168000.0	22877000.0	-70.008	-119.03	-0.084559	-40.135	843.0	0.988137604	0.0118623962	0.0325001821	0.000390158248	992.97
132000	-4050800.0	0.0	0.0	406510.0	0.0	-4457300.0	-4184100.0	18273.0	-23196000.0	22905000.0	-66.589	-105.68	-0.074984	-40.099	844.0	0.988151659	0.0118483412	0.0325391979	0.000390158248	994.14
134500	-4080900.0	0.0	0.0	466870.0	0.0	-4547700.0	-4274800.0	18605.0	-23196000.0	22905000.0	167.72	823.49	0.58429	-38.696	844.0	0.988151659	0.0118483412	0.0325391979	0.000390158248	994.14
135000	-4079300.0	0.0	0.0	468440.0	0.0	-4547800.0	-4274900.0	18597.0	-23196000.0	22905000.0	161.79	799.17	0.56771	-38.771	843.0	0.989323843	0.0106761566	0.0325391979	0.000351142423	992.07
137500	-4063300.0	0.0	0.0	397240.0	0.0	-4460500.0	-4186700.0	17651.0	-23196000.0	22905000.0	-144.29	-412.27	-0.29287	-40.83	843.0	0.989323843	0.0106761566	0.0325391979	0.000351142423	992.07
138000	-4054600.0	0.0	0.0	395690.0	0.0	-4450300.0	-4177700.0	18185.0	-23140000.0	22850000.0	-134.76	-374.27	-0.26619	-40.724	842.0	0.988123515	0.0118764846	0.0324611662	0.000390158248	991.81
140500	-4018300.0	0.0	0.0	431780.0	0.0	-4450100.0	-4177900.0	18636.0	-23140000.0	22850000.0	87.703	503.3	0.35796	-38.756	842.0	0.988123515	0.0118764846	0.0324611662	0.000390158248	991.81
141000	-4025100.0	0.0	0.0	435680.0	0.0	-4460800.0	-4187800.0	18490.0	-23196000.0	22905000.0	88.769	507.78	0.36114	-38.816	842.0	0.990498812	0.00950118765	0.0325391979	0.000312126598	989.99
143500	-4085900.0	0.0	0.0	442230.0	0.0	-4528100.0	-4255800.0	19180.0	-23196000.0	22905000.0	-28.772	45.734	0.032527	-40.263	842.0	0.990498812	0.00950118765	0.0325391979	0.000312126598	989.99
144000	-4089500.0	0.0	0.0	438890.0	0.0	-4528400.0	-4256100.0	19129.0	-23196000.0	22905000.0	-20.165	79.694	0.056546	-40.141	844.0	0.988151659	0.0118483412	0.0325391979	0.000390158248	994.14
146500	-4074200.0	0.0	0.0	404110.0	0.0	-4478300.0	-4204300.0	17491.0	-23196000.0	22905000.0	-134.37	-373.21	-0.26481	-40.819	844.0	0.988151659	0.0118483412	0.0325391979	0.000390158248	994.14
147000	-4075200.0	0.0	0.0	409500.0	0.0	-4484700.0	-4210200.0	17338.0	-23224000.0	22932000.0	-124.22	-332.38	-0.23611	-40.802	843.0	0.990510083	0.00948991696	0.0325782137	0.000312126598	991.16
149500	-4064800.0	0.0	0.0	414350.0	0.0	-4479100.0	-4207100.0	19815.0	-23224000.0	22932000.0	-98.538	-231.2	-0.16424	-40.514	843.0	0.990510083	0.00948991696	0.0325782137	0.000312126598	991.16
150000	-4061000.0	0.0	0.0	411050.0	0.0	-4472000.0	-4200400.0	19866.0	-23196000.0	22905000.0	-99.381	-234.69	-0.16672	-40.483	843.0	0.989323843	0.0106761566	0.0325391979	0.000351142423	992.07
152500	-4014700.0	0.0	0.0	349270.0	0.0	-4364000.0	-4088800.0	16276.0	-23196000.0	22905000.0	-333.22	-1161.5	-0.82512	-41.724	843.0	0.989323843	0.0106761566	0.0325391979	0.000351142423	992.07
153000	-4013800.0	0.0	0.0	346080.0	0.0	-4359900.0	-4084800.0	16062.0	-23168000.0	22877000.0	-328.01	-1142.5	-0.81063	-41.63	844.0	0.986966825	0.0130331754	0.0325001821	0.000429174073	995.05
155500	-4016200.0	0.0	0.0	425730.0	0.0	-4441900.0	-4169800.0	19003.0	-23168000.0	22877000.0	61.52	400.34	0.28406	-38.832	844.0	0.986966825	0.0130331754	0.0325001821	0.000429174073	995.05
156000	-4015700.0	0.0	0.0	427930.0	0.0	-4443700.0	-4171600.0	19095.0	-23168000.0	22877000.0	42.839	325.94	0.23181	-39.056	842.0	0.989311164	0.0106888361	0.0325001821	0.000351142423	990.9
158500	-4074800.0	0.0	0.0	415580.0	0.0	-4490400.0	-4217500.0	18217.0	-23168000.0	22877000.0	-133.74	-369.45	-0.26276	-40.915	842.0	0.989311164	0.0106888361	0.0325001821	0.000351142423	990.9
159000	-4073700.0	0.0	0.0	416880.0	0.0	-4490600.0	-4217400.0	17932.0	-23168000.0	22877000.0	-141.73	-400.4	-0.28511	-41.009	841.0	0.990487515	0.00951248514	0.0325001821	0.000312126598	988.83
161500	-4060000.0	0.0	0.0	413920.0	0.0	-4473900.0	-4200800.0	18049.0	-23168000.0	22877000.0	-131.92	-362.22	-0.25792	-40.804	841.0	0.990487515	0.00951248514	0.0325001821	0.000312126598	988.83
162000	-4055500.0	0.0	0.0	418230.0	0.0	-4473700.0	-4200700.0	18076.0	-23168000.0	22877000.0	-146.74	-418.82	-0.29929	-41.009	838.0	0.994033413	0.00596658711	0.0325001821	0.000195079124	982.61
164500	-4042200.0	0.0	0.0	433810.0	0.0	-4476000.0	-4202900.0	18000.0	-23168000.0	22877000.0	-22.768	68.179	0.048721	-39.98	838.0	0.994033413	0.00596658711	0.0325001821	0.000195079124	982.61
165000	-4050100.0	0.0	0.0	430350.0	0.0	-4480400.0	-4207100.0	18182.0	-23196000.0	22905000.0	-15.41	97.202	0.069214	-39.862	841.0	0.991676576	0.00832342449	0.0325391979	0.000273110774	987.92
167500	-4052100.0	0.0	0.0	443140.0	0.0	-4495300.0	-4224800.0	20955.0	-23196000.0	22905000.0	27.286	265.78	0.18925	-39.573	841.0	0.991676576	0.00832342449	0.0325391979	0.000273110774	987.92
168000	-4044400.0	0.0	0.0	440100.0	0.0	-4484500.0	-4214300.0	20619.0	-23140000.0	22850000.0	22.293	245.67	0.17514	-39.581	840.0	0.99047619	0.00952380952	0.0324611662	0.000312126598	987.66
170500	-4019400.0	0.0	0.0	375720.0	0.0	-4395100.0	-4120900.0	16626.0	-23140000.0	22850000.0	-231.72	-756.54	-0.53935	-41.175	840.0	0.99047619	0.00952380952	0.0324611662	0.000312126598	987.66
171000	-4023500.0	0.0	0.0	371710.0	0.0	-4395200.0	-4121000.0	16637.0	-23141000.0	22850000.0	-211.65	-680.28	-0.48325	-40.929	843.0	0.986951364	0.0130486358	0.0324611662	0.000429174073	993.88
173500	-4010600.0	0.0	0.0	390690.0	0.0	-4401300.0	-4130000.0	19485.0	-23141000.0	22850000.0	-90.872	-202.99	-0.1442	-39.928	843.0	0.986951364	0.0130486358	0.0324611662	0.000429174073	993.88
174000	-4010800.0	0.0	0.0	390890.0	0.0	-4401700.0	-4130500.0	19600.0	-23141000.0	22850000.0	-93.401	-212.99	-0.1513	-39.948	843.0	0.986951364	0.0130486358	0.0324611662	0.000429174073	993.88
176500	-4057700.0	0.0	0.0	363180.0	0.0	-4420900.0	-4146500.0	16385.0	-23141000.0	22850000.0	-322.29	-1116.6	-0.79319	-42.066	843.0	0.986951364	0.0130486358	0.0324611662	0.000429174073	993.88
177000	-4066100.0	0.0	0.0	361420.0	0.0	-4427500.0	-4152700.0	16317.0	-23168000.0	22877000.0	-284.52	-972.19	-0.68736	-41.686	847.0	0.983471074	0.0165289256	0.0325001821	0.000546221547	1001.3
